Source,Time (s),RA,Decl,Date
1331+305=3C286,389 secs,13h31m8.288s,"30°30'32.959""",2025-03-27
A1795,2154 secs,13h48m52.500s,"26°35'34.000""",2025-03-27
J1330+2509,299 secs,13h30m37.689s,"25°9'10.978""",2025-03-27
J1436+2321,434 secs,14h36m40.981s,"23°21'3.260""",2025-03-27
MS1455+2232,2134 secs,14h57m15.100s,"22°20'34.000""",2025-03-27
,,,,
1331+305=3C286,329 secs,13h31m8.288s,"30°30'32.959""",2025-03-27
A2204,2194 secs,16h32m47.000s,"5°34'35.000""",2025-03-27
J1616+0459,638 secs,16h16m37.557s,"4°59'32.737""",2025-03-27
J1719+1745,384 secs,17h19m13.048s,"17°45'6.437""",2025-03-27
RXJ1720.1+2638,2134 secs,17h20m8.900s,"26°38'6.000""",2025-03-27
,,,,
1331+305=3C286,389 secs,13h31m8.288s,"30°30'32.959""",2025-03-19
A1795,2134 secs,13h48m52.500s,"26°35'34.000""",2025-03-19
J1330+2509,324 secs,13h30m37.689s,"25°9'10.978""",2025-03-19
J1436+2321,384 secs,14h36m40.981s,"23°21'3.260""",2025-03-19
MS1455+2232,2174 secs,14h57m15.100s,"22°20'34.000""",2025-03-19
,,,,
1331+305=3C286,269 secs,13h31m8.288s,"30°30'32.959""", 2025-03-16
J1041+0610,638 secs,10h41m17.163s,"6°10'16.924""", 2025-03-16
J1058+0133,269 secs,10h58m29.605s,"1°33'58.824""", 2025-03-16
RXCJ1115+0129,2194 secs,11h15m52.000s,"1°29'54.000""", 2025-03-16
Z3146,2194 secs,10h23m39.600s,"4°11'11.000""", 2025-03-16
,,,,
0137+331=3C48,389 secs,1h37m41.299s,"33°9'35.133""",2025-03-15
2A0335+096,4109 secs,3h38m40.500s,"9°58'12.400""",2025-03-15
J0321+1221,573 secs,3h21m53.104s,"12°21'13.954""",2025-03-15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0137+331=3C48,264 secs,1h37m41.299s,"33°9'35.133""",2025-03-11
A478,7470 secs,4h13m25.300s,"10°27'55.000""",2025-03-11
J0424+0204,1361 secs,4h24m8.562s,"2°4'24.965""",2025-03-11
,,,,
0137+331=3C48,389 secs,1h37m41.299s,"33°9'35.133""",2025-02-28
A2626,2493 secs,23h36m30.500s,"21°8'47.600""",2025-02-28
ACTJ0022-0036,1642 secs,0h22m13.000s,"-0°36'33.000""",2025-02-28
J0022+0014,259 secs,0h22m25.426s,"0°14'56.161""",2025-02-28
J2136+0041,527 secs,21h36m38.586s,"0°41'54.213""",2025-02-28
J2253+1608,603 secs,22h53m57.748s,"16°8'53.561""",2025-02-28
RXJ2129+0005,3867 secs,21h29m39.900s,"0°5'21.300""",2025-02-28
,,,,
0137+331=3C48,239 secs,1h37m41.299s,"33°9'35.133""",2025-02-28
A2626,1995 secs,23h36m30.500s,"21°8'47.600""",2025-02-28
ACTJ0022-0036,2190 secs,0h22m13.000s,"-0°36'33.000""",2025-02-28
J0022+0014,304 secs,0h22m25.426s,"0°14'56.161""",2025-02-28
J2136+0041,716 secs,21h36m38.586s,"0°41'54.213""",2025-02-28
J2253+1608,508 secs,22h53m57.748s,"16°8'53.561""",2025-02-28
RXJ2129+0005,3867 secs,21h29m39.900s,"0°5'21.300""",2025-02-28
,,,,
1331+305=3C286,389 secs,13h31m8.288s,"30°30'32.959""",2025-02-28
A2204,2194 secs,16h32m47.000s,"5°34'35.000""",2025-02-28
J1616+0459,548 secs,16h16m37.557s,"4°59'32.737""",2025-02-28
J1719+1745,384 secs,17h19m13.048s,"17°45'6.437""",2025-02-28
RXJ1720.1+2638,2134 secs,17h20m8.900s,"26°38'6.000""",2025-02-28
,,,,
1331+305=3C286,180 secs,13h31m8.288s,"30°30'32.959""",2025-02-28
A1413,7749 secs,11h55m18.000s,"23°24'19.000""",2025-02-28
J1150+2417,1102 secs,11h50m19.212s,"24°17'53.835""",2025-02-28
,,,,
1331+305=3C286,209 secs,13h31m8.288s,"30°30'32.959""",2025-02-28
A1413,7749 secs,11h55m18.000s,"23°24'19.000""",2025-02-28
J1150+2417,1062 secs,11h50m19.212s,"24°17'53.835""",2025-02-28
,,,,
0137+331=3C48,269 secs,1h37m41.299s,"33°9'35.133""",2025-02-28
2A0335+096,4109 secs,3h38m40.500s,"9°58'12.400""",2025-02-28
J0321+1221,883 secs,3h21m53.104s,"12°21'13.954""",2025-02-28
,,,,
1331+305=3C286,389 secs,13h31m8.288s,"30°30'32.959""",2025-02-27
J1041+0610,429 secs,10h41m17.163s,"6°10'16.924""",2025-02-27
J1058+0133,269 secs,10h58m29.605s,"1°33'58.824""",2025-02-27
RXCJ1115+0129,2194 secs,11h15m52.000s,"1°29'54.000""",2025-02-27
Z3146,2194 secs,10h23m39.600s,"4°11'11.000""",2025-02-27
,,,,
0137+331=3C48,389 secs,1h37m41.299s,"33°9'35.133""",2025-02-27
A478,7470 secs,4h13m25.300s,"10°27'55.000""",2025-02-27
J0424+0204,1152 secs,4h24m8.562s,"2°4'24.965""",2025-02-27
