Freq1,Data1,Err1,Freq2,Data2,Err2
8.039,0.9297,0.003408,8.039,0.9328,0.002649
8.167,0.9224,0.003201,8.167,0.9236,0.002568
8.295,0.9133,0.00303,8.295,0.9151,0.002461
8.423,0.9062,0.003007,8.423,0.9089,0.002353
8.551,0.8984,0.0029,8.551,0.9021,0.002451
8.679,0.8893,0.003002,8.679,0.8935,0.002425
8.807,0.8838,0.002691,8.807,0.8877,0.002345
8.935,0.8745,0.002761,8.935,0.8811,0.002382
9.063,0.8687,0.002759,9.063,0.8742,0.002273
9.191,0.8601,0.002788,9.191,0.8648,0.002411
9.319,0.8539,0.002861,9.319,0.8589,0.002325
9.447,0.8453,0.002985,9.447,0.8517,0.002361
9.575,0.84,0.003014,9.575,0.8449,0.002332
9.703,0.8342,0.00318,9.703,0.8374,0.002351
9.831,0.8267,0.003254,9.831,0.828,0.002528
9.959,0.8193,0.003245,9.959,0.8229,0.002721
10.039,0.8145,0.003185,10.039,0.8172,0.00246
10.167,0.8077,0.003033,10.167,0.8086,0.002642
10.295,0.8006,0.003027,10.295,0.8037,0.002701
10.423,0.7946,0.003166,10.423,0.798,0.002674
10.551,0.7895,0.00313,10.551,0.7927,0.002624
10.679,0.7816,0.003229,10.679,0.7863,0.002635
10.807,0.7784,0.003451,10.807,0.7785,0.002778
10.935,0.767,0.003501,10.935,0.7709,0.003024
11.319,0.7534,0.003813,11.063,0.768,0.003088
11.447,0.7487,0.003712,11.191,0.7637,0.003302
11.575,0.7385,0.004372,11.319,0.7576,0.003107
11.831,0.7288,0.004628,11.447,0.7509,0.003009
11.959,0.7176,0.005665,11.575,0.7402,0.003612
,,,11.703,0.7381,0.003318
