Freq1,Data1,Error1,Freq2,Data2,Error2
8.039,0.4893,0.001586,8.039,0.4826,0.002154
8.167,0.4864,0.001718,8.167,0.4792,0.00215
8.295,0.4838,0.001682,8.295,0.4753,0.002318
8.423,0.4804,0.001797,8.423,0.4722,0.002385
8.551,0.4774,0.001913,8.551,0.4684,0.002406
8.679,0.4748,0.002013,8.679,0.4654,0.00249
8.807,0.4713,0.001979,8.807,0.4618,0.00248
8.935,0.4686,0.002029,8.935,0.4588,0.002303
9.063,0.4657,0.00196,9.063,0.455,0.002677
9.191,0.4622,0.002177,9.191,0.4523,0.002833
9.319,0.4591,0.002267,9.319,0.4485,0.002766
9.447,0.4574,0.002639,9.447,0.4458,0.002912
9.575,0.4548,0.002574,9.575,0.4429,0.002992
9.703,0.4521,0.002552,9.703,0.4399,0.002994
9.831,0.4491,0.002554,9.831,0.4379,0.002957
9.959,0.4469,0.002547,9.959,0.4323,0.003228
10.039,0.4429,0.002676,10.039,0.428,0.002834
10.167,0.4413,0.002833,10.167,0.4266,0.002849
10.295,0.4385,0.002794,10.295,0.423,0.002919
10.423,0.4362,0.002993,10.423,0.4212,0.002967
10.551,0.4337,0.002923,10.551,0.4182,0.003123
10.679,0.4309,0.00299,10.679,0.416,0.003118
10.807,0.4292,0.002884,10.807,0.4149,0.003126
10.935,0.434,0.009834,10.935,0.4116,0.002967
11.063,0.421,0.003451,11.063,0.409,0.003016
11.191,0.4269,0.005464,11.191,0.4068,0.002732
11.319,0.4169,0.00351,11.319,0.4033,0.00272
11.447,0.4184,0.003144,11.447,0.4005,0.002888
11.703,0.4111,0.003149,11.575,0.4005,0.003085
11.831,0.4132,0.006784,11.703,0.3926,0.004163
11.959,0.4084,0.008847,,,
