Freq1,Data1,Error1,Freq2,Data2,Error2
8.039,0.6316,0.003212,8.039,0.6196,0.002426
8.167,0.6286,0.003273,8.167,0.6187,0.002083
8.295,0.6244,0.003431,8.295,0.6146,0.001856
8.423,0.6214,0.003391,8.423,0.6106,0.001587
8.551,0.6165,0.003646,8.551,0.6072,0.001483
8.679,0.614,0.003663,8.679,0.6034,0.001416
8.807,0.6105,0.003758,8.807,0.6004,0.001398
8.935,0.6063,0.003896,8.935,0.5949,0.00147
9.063,0.6043,0.003955,9.063,0.5909,0.00154
9.191,0.6015,0.004119,9.191,0.5878,0.001505
9.319,0.598,0.004097,9.319,0.5846,0.001627
9.447,0.5944,0.004184,9.447,0.5804,0.001582
9.575,0.5905,0.004259,9.575,0.5765,0.001516
9.703,0.5862,0.004404,9.703,0.5736,0.001502
9.831,0.5824,0.004464,9.831,0.5689,0.001475
9.959,0.5816,0.004531,9.959,0.5658,0.001733
10.039,0.5771,0.004396,10.039,0.5643,0.001533
10.167,0.5743,0.004508,10.167,0.5604,0.001466
10.295,0.5723,0.004501,10.295,0.5583,0.001567
10.423,0.5681,0.004572,10.423,0.5553,0.001459
10.551,0.5655,0.004703,10.551,0.5514,0.001405
10.679,0.5619,0.004757,10.679,0.5479,0.001316
10.807,0.5578,0.004824,10.807,0.5453,0.001344
10.935,0.5552,0.004664,10.935,0.5427,0.001351
11.063,0.5522,0.004914,11.063,0.5401,0.001407
11.191,0.5489,0.004911,11.191,0.5368,0.001432
11.319,0.5474,0.004921,11.319,0.5339,0.001492
11.447,0.5433,0.005143,11.447,0.531,0.0015
11.575,0.5405,0.005324,11.575,0.5269,0.001538
11.703,0.537,0.005442,11.703,0.5246,0.00166
11.831,0.5382,0.005624,11.831,0.5227,0.001615
11.959,0.5339,0.005585,11.959,0.519,0.001635
