dconfig1_freq,dconfig1_flux,dconfig1_err,dconfig2_freq,dconfig2_flux,dconfig2_err
8.039,0.5432,0.004486,8.039,0.5355,0.001932
8.167,0.5424,0.004384,8.167,0.5352,0.001951
8.295,0.5396,0.00433,8.295,0.5331,0.001965
8.423,0.5382,0.004282,8.423,0.5333,0.001915
8.551,0.5372,0.004391,8.551,0.5337,0.002002
8.679,0.5351,0.004538,8.679,0.5323,0.002055
8.807,0.5359,0.00443,8.807,0.5332,0.00205
8.935,0.5342,0.004485,8.935,0.5318,0.002101
9.063,0.5333,0.004327,9.063,0.531,0.002044
9.191,0.5319,0.004576,9.191,0.5296,0.002145
9.319,0.5297,0.004595,9.319,0.5297,0.002164
9.447,0.5304,0.004703,9.447,0.5299,0.002214
9.575,0.5296,0.004755,9.575,0.5297,0.002321
9.703,0.5294,0.004911,9.703,0.5304,0.002311
9.831,0.5286,0.00506,9.831,0.5272,0.00254
9.959,0.5287,0.005125,9.959,0.5272,0.002652
10.039,0.5309,0.00493,10.039,0.5283,0.002445
10.167,0.5318,0.004696,10.167,0.5263,0.002694
10.295,0.5312,0.004693,10.295,0.5256,0.002657
10.423,0.53,0.004799,10.423,0.5256,0.002743
10.551,0.5279,0.00472,10.551,0.5265,0.002716
10.679,0.5283,0.004874,10.679,0.526,0.002782
10.807,0.5314,0.004858,10.807,0.5264,0.002941
10.935,0.5287,0.004951,10.935,0.5241,0.003004
11.063,0.5298,0.004973,11.063,0.5234,0.003038
11.191,0.5309,0.003973,11.191,0.524,0.003298
11.319,0.5291,0.005224,11.319,0.5249,0.003124
11.447,0.529,0.004292,11.447,0.5227,0.003105
11.575,0.5272,0.004316,11.575,0.5208,0.003294
11.703,0.5244,0.004462,11.703,0.524,0.003496
11.831,0.5258,0.005111,11.831,0.521,0.003971
11.959,0.5219,0.004595,11.959,0.52,0.003922
